Run,Run Title,Alternative,NPV,IRR,AVE_IRI
122,T7Run122 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.670000076
123,T7Run123 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.71999979
124,T7Run124 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.78000021
125,T7Run125 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.789999962
126,T7Run126 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.869999886
127,T7Run127 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.920000076
128,T7Run128 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.920000076
129,T7Run129 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.920000076
130,T7Run130 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.929999828
131,T7Run131 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.929999828
132,T7Run132 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.929999828
133,T7Run133 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.929999828
134,T7Run134 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.880000114
135,T7Run135 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.880000114
136,T7Run136 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.880000114
137,T7Run137 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095
138,T7Run138 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.920000076
139,T7Run139 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.920000076
140,T7Run140 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.949999809
141,T7Run141 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095
142,T7Run142 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.920000076
143,T7Run143 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.909999847
144,T7Run144 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.960000038
145,T7Run145 Project Analysis,Minimum Maintenance (B),0,-9999.990234,7
146,T7Run146 Project Analysis,Minimum Maintenance (B),0,-9999.990234,7.019999981
147,T7Run147 Project Analysis,Minimum Maintenance (B),0,-9999.990234,7.079999924
148,T7Run148 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
149,T7Run149 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
150,T7Run150 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
151,T7Run151 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
152,T7Run152 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
153,T7Run153 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
154,T7Run154 Project Analysis,Minimum Maintenance (B),0,-9999.990234,8.670000076
155,T7Run155 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.850000381
156,T7Run156 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.850000381
157,T7Run157 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.850000381
158,T7Run158 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.850000381
159,T7Run159 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.850000381
160,T7Run160 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.850000381
161,T7Run161 Project Analysis,Minimum Maintenance (B),0,-9999.990234,9.859999657
162,T7Run162 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.40999985
163,T7Run163 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.40999985
164,T7Run164 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.40999985
165,T7Run165 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.42000008
166,T7Run166 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.43000031
167,T7Run167 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.43000031
168,T7Run168 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.43999958
169,T7Run169 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.89000034
170,T7Run170 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.89000034
171,T7Run171 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.89000034
172,T7Run172 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.89000034
173,T7Run173 Project Analysis,Minimum Maintenance (B),0,-9999.990234,11.89000034
