Run Title,Alternative,NPV,IRR
T2Run65 Project Analysis,Upgrade,18562636.0,57.689998626708984
T2Run65 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run66 Project Analysis,Upgrade,19665382.0,60.060001373291016
T2Run66 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run67 Project Analysis,Upgrade,18995946.0,58.68000030517578
T2Run67 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run68 Project Analysis,Upgrade,19435710.0,59.77000045776367
T2Run68 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run69 Project Analysis,Upgrade,21719656.0,64.61000061035156
T2Run69 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run70 Project Analysis,Upgrade,24509804.0,71.8499984741211
T2Run70 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run71 Project Analysis,Upgrade,54762656.0,145.75
T2Run71 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run73 Project Analysis,Upgrade,55854380.0,148.22999572753906
T2Run73 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run74 Project Analysis,Upgrade,54097540.0,144.3800048828125
T2Run74 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run75 Project Analysis,Upgrade,55111864.0,146.9199981689453
T2Run75 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run77 Project Analysis,Upgrade,67161056.0,176.1699981689453
T2Run77 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run78 Project Analysis,Upgrade,276879392.0,708.6300048828125
T2Run78 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run80 Project Analysis,Upgrade,282101344.0,721.6199951171875
T2Run80 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run81 Project Analysis,Upgrade,273569344.0,700.47998046875
T2Run81 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run82 Project Analysis,Upgrade,278193120.0,712.0900268554688
T2Run82 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run83 Project Analysis,Upgrade,306508704.0,782.489990234375
T2Run83 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run84 Project Analysis,Upgrade,333997600.0,851.6599731445312
T2Run84 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run85 Project Analysis,Upgrade,18161286.0,57.369998931884766
T2Run85 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run86 Project Analysis,Upgrade,17597884.0,56.150001525878906
T2Run86 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run87 Project Analysis,Upgrade,18532768.0,58.18000030517578
T2Run87 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run88 Project Analysis,Upgrade,17992588.0,57.060001373291016
T2Run88 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run89 Project Analysis,Upgrade,18440862.0,58.189998626708984
T2Run89 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run90 Project Analysis,Upgrade,20369824.0,62.290000915527344
T2Run90 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run91 Project Analysis,Upgrade,23498944.0,70.2699966430664
T2Run91 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run92 Project Analysis,Upgrade,51549256.0,139.3300018310547
T2Run92 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run93 Project Analysis,Upgrade,50094564.0,136.07000732421875
T2Run93 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run94 Project Analysis,Upgrade,52494268.0,141.49000549316406
T2Run94 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run95 Project Analysis,Upgrade,51061872.0,138.35000610351562
T2Run95 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run96 Project Analysis,Upgrade,52093144.0,140.94000244140625
T2Run96 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run97 Project Analysis,Upgrade,57087092.0,152.19000244140625
T2Run97 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run98 Project Analysis,Upgrade,64190504.0,170.38999938964844
T2Run98 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run99 Project Analysis,Upgrade,260594192.0,668.3699951171875
T2Run99 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run100 Project Analysis,Upgrade,253575696.0,650.9199829101562
T2Run100 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run101 Project Analysis,Upgrade,265112384.0,679.6199951171875
T2Run101 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run102 Project Analysis,Upgrade,258132720.0,662.2999877929688
T2Run102 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run103 Project Analysis,Upgrade,262837664.0,674.0999755859375
T2Run103 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run104 Project Analysis,Upgrade,286859648.0,733.8400268554688
T2Run104 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run105 Project Analysis,Upgrade,319119040.0,815.0499877929688
T2Run105 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run106 Project Analysis,Upgrade,19626246.0,54.08000183105469
T2Run106 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run107 Project Analysis,Upgrade,18918662.0,52.66999816894531
T2Run107 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run108 Project Analysis,Upgrade,20155068.0,55.380001068115234
T2Run108 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run109 Project Analysis,Upgrade,19481930.0,54.119998931884766
T2Run109 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run110 Project Analysis,Upgrade,20096010.0,55.90999984741211
T2Run110 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run111 Project Analysis,Upgrade,22775404.0,62.209999084472656
T2Run111 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run112 Project Analysis,Upgrade,26130974.0,70.7699966430664
