Run Title,Alternative,NPV,IRR,AVE_IRI,
T5Run74 Project Analysis,Reconstruction,627195648,609.9299927,3.980000019,147
T5Run74 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,148
T5Run75 Project Analysis,Reconstruction,570335232,555.6799927,3.980000019,149
T5Run75 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,150
T5Run76 Project Analysis,Reconstruction,533158080,521.710022,3.980000019,151
T5Run76 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31000042,152
T5Run77 Project Analysis,Reconstruction,433627264,432.1199951,3.980000019,153
T5Run77 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.31999969,154
T5Run78 Project Analysis,Reconstruction,1675697664,-9999.990234,4.960000038,155
T5Run78 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,156
T5Run79 Project Analysis,Reconstruction,1662413824,-9999.990234,4.960000038,157
T5Run79 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,158
T5Run80 Project Analysis,Reconstruction,1671304832,-9999.990234,4.960000038,159
T5Run80 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,160
T5Run81 Project Analysis,Reconstruction,1613586560,-9999.990234,4.96999979,161
T5Run81 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,162
T5Run82 Project Analysis,Reconstruction,1470469760,-9999.990234,4.96999979,163
T5Run82 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,164
T5Run83 Project Analysis,Reconstruction,1376045312,-9999.990234,4.96999979,165
T5Run83 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,166
T5Run84 Project Analysis,Reconstruction,1122907008,-9999.990234,4.96999979,167
T5Run84 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.27000046,168
T5Run85 Project Analysis,Reconstruction,130946848,115.3300018,4.03000021,169
T5Run85 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.94999981,170
T5Run86 Project Analysis,Reconstruction,130276448,115.6100006,4.03000021,171
T5Run86 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,172
T5Run87 Project Analysis,Reconstruction,130636328,115.2200012,4.03000021,173
T5Run87 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,174
T5Run88 Project Analysis,Reconstruction,126543416,113.7799988,4.03000021,175
T5Run88 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,176
T5Run89 Project Analysis,Reconstruction,114507640,106.6600037,4.03000021,177
T5Run89 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,178
T5Run90 Project Analysis,Reconstruction,105685784,99.09999847,4.03000021,179
T5Run90 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,180
T5Run91 Project Analysis,Reconstruction,83460424,83.19000244,4.039999962,181
T5Run91 Project Analysis,Minimum Maintenance (B),0,-9999.990234,13.96000004,182
T5Run92 Project Analysis,Reconstruction,658534400,679.6099854,4.360000134,183
T5Run92 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,184
T5Run93 Project Analysis,Reconstruction,653299840,674.5599976,4.360000134,185
T5Run93 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,186
T5Run94 Project Analysis,Reconstruction,656803776,677.9500122,4.360000134,187
T5Run94 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,188
T5Run95 Project Analysis,Reconstruction,633830528,655.1500244,4.360000134,189
T5Run95 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,190
T5Run96 Project Analysis,Reconstruction,576539328,597.3800049,4.360000134,191
T5Run96 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,192
T5Run97 Project Analysis,Reconstruction,538916800,560.039978,4.360000134,193
T5Run97 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,194
T5Run98 Project Analysis,Reconstruction,437749056,458.6700134,4.360000134,195
T5Run98 Project Analysis,Minimum Maintenance (B),0,-9999.990234,14.73999977,196
T5Run99 Project Analysis,Reconstruction,1675694720,-9999.990234,4.880000114,197
T5Run99 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18000031,198
T5Run100 Project Analysis,Reconstruction,1662410624,-9999.990234,4.880000114,199
T5Run100 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18000031,200
T5Run101 Project Analysis,Reconstruction,1671301632,-9999.990234,4.880000114,201
T5Run101 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18000031,202
T5Run102 Project Analysis,Reconstruction,1613583488,-9999.990234,4.880000114,203
T5Run102 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,204
T5Run103 Project Analysis,Reconstruction,1470466816,-9999.990234,4.880000114,205
T5Run103 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,206
T5Run104 Project Analysis,Reconstruction,1376042496,-9999.990234,4.880000114,207
T5Run104 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,208
T5Run105 Project Analysis,Reconstruction,1122904064,-9999.990234,4.880000114,209
T5Run105 Project Analysis,Minimum Maintenance (B),0,-9999.990234,15.18999958,210
T5Run106 Project Analysis,Reconstruction,6172061,15.56000042,2.359999895,211
T5Run106 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,212
T5Run107 Project Analysis,Reconstruction,6817578,15.89000034,2.359999895,213
T5Run107 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,214
T5Run108 Project Analysis,Reconstruction,6446563,15.71000004,2.359999895,215
T5Run108 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,216
T5Run109 Project Analysis,Reconstruction,7135299,16.07999992,2.359999895,217
T5Run109 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,218
T5Run110 Project Analysis,Reconstruction,5880210,15.46000004,2.359999895,219
T5Run110 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,220
T5Run111 Project Analysis,Reconstruction,4374758,14.68999958,2.359999895,221
T5Run111 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,222
T5Run112 Project Analysis,Reconstruction,1152866.13,12.77999973,2.359999895,223
T5Run112 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.789999962,224
T5Run113 Project Analysis,Reconstruction,119219920,38.70000076,2.380000114,225
T5Run113 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,226
T5Run114 Project Analysis,Reconstruction,121544824,39.20999908,2.380000114,227
T5Run114 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,228
T5Run115 Project Analysis,Reconstruction,120188832,38.93999863,2.380000114,229
T5Run115 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,230
T5Run116 Project Analysis,Reconstruction,121843256,39.56999969,2.380000114,231
