RunNo,Run,TrafficGrowth,Condition,TrafficVolume,Geometry
265,T3Run265,3,2,1,5
266,T3Run266,3,2,1,6
267,T3Run267,3,2,2,0
268,T3Run268,3,2,2,1
269,T3Run269,3,2,2,2
270,T3Run270,3,2,2,3
271,T3Run271,3,2,2,4
272,T3Run272,3,2,2,5
273,T3Run273,3,2,2,6
274,T3Run274,3,3,0,0
275,T3Run275,3,3,0,1
276,T3Run276,3,3,0,2
277,T3Run277,3,3,0,3
278,T3Run278,3,3,0,4
279,T3Run279,3,3,0,5
280,T3Run280,3,3,0,6
281,T3Run281,3,3,1,0
282,T3Run282,3,3,1,1
283,T3Run283,3,3,1,2
284,T3Run284,3,3,1,3
285,T3Run285,3,3,1,4
286,T3Run286,3,3,1,5
287,T3Run287,3,3,1,6
288,T3Run288,3,3,2,0
289,T3Run289,3,3,2,1
290,T3Run290,3,3,2,2
291,T3Run291,3,3,2,3
292,T3Run292,3,3,2,4
293,T3Run293,3,3,2,5
294,T3Run294,3,3,2,6
295,T3Run295,3,4,0,0
296,T3Run296,3,4,0,1
297,T3Run297,3,4,0,2
298,T3Run298,3,4,0,3
299,T3Run299,3,4,0,4
300,T3Run300,3,4,0,5
301,T3Run301,3,4,0,6
302,T3Run302,3,4,1,0
303,T3Run303,3,4,1,1
304,T3Run304,3,4,1,2
305,T3Run305,3,4,1,3
306,T3Run306,3,4,1,4
307,T3Run307,3,4,1,5
308,T3Run308,3,4,1,6
309,T3Run309,3,4,2,0
310,T3Run310,3,4,2,1
311,T3Run311,3,4,2,2
312,T3Run312,3,4,2,3
313,T3Run313,3,4,2,4
314,T3Run314,3,4,2,5
315,T3Run315,3,4,2,6
316,T3Run316,4,0,0,0
317,T3Run317,4,0,0,1
318,T3Run318,4,0,0,2
319,T3Run319,4,0,0,3
320,T3Run320,4,0,0,4
321,T3Run321,4,0,0,5
322,T3Run322,4,0,0,6
323,T3Run323,4,0,1,0
324,T3Run324,4,0,1,1
325,T3Run325,4,0,1,2
326,T3Run326,4,0,1,3
327,T3Run327,4,0,1,4
328,T3Run328,4,0,1,5
329,T3Run329,4,0,1,6
330,T3Run330,4,0,2,0
331,T3Run331,4,0,2,1
332,T3Run332,4,0,2,2
333,T3Run333,4,0,2,3
334,T3Run334,4,0,2,4
335,T3Run335,4,0,2,5
336,T3Run336,4,0,2,6
337,T3Run337,4,1,0,0
338,T3Run338,4,1,0,1
339,T3Run339,4,1,0,2
340,T3Run340,4,1,0,3
341,T3Run341,4,1,0,4
342,T3Run342,4,1,0,5
343,T3Run343,4,1,0,6
344,T3Run344,4,1,1,0
345,T3Run345,4,1,1,1
346,T3Run346,4,1,1,2
347,T3Run347,4,1,1,3
348,T3Run348,4,1,1,4
349,T3Run349,4,1,1,5
350,T3Run350,4,1,1,6
351,T3Run351,4,1,2,0
352,T3Run352,4,1,2,1
353,T3Run353,4,1,2,2
354,T3Run354,4,1,2,3
355,T3Run355,4,1,2,4
356,T3Run356,4,1,2,5
357,T3Run357,4,1,2,6
358,T3Run358,4,2,0,0
359,T3Run359,4,2,0,1
360,T3Run360,4,2,0,2
361,T3Run361,4,2,0,3
362,T3Run362,4,2,0,4
363,T3Run363,4,2,0,5
364,T3Run364,4,2,0,6
365,T3Run365,4,2,1,0
366,T3Run366,4,2,1,1
367,T3Run367,4,2,1,2
368,T3Run368,4,2,1,3
369,T3Run369,4,2,1,4
370,T3Run370,4,2,1,5
371,T3Run371,4,2,1,6
372,T3Run372,4,2,2,0
373,T3Run373,4,2,2,1
374,T3Run374,4,2,2,2
375,T3Run375,4,2,2,3
376,T3Run376,4,2,2,4
377,T3Run377,4,2,2,5
378,T3Run378,4,2,2,6
379,T3Run379,4,3,0,0
380,T3Run380,4,3,0,1
381,T3Run381,4,3,0,2
382,T3Run382,4,3,0,3
383,T3Run383,4,3,0,4
384,T3Run384,4,3,0,5
385,T3Run385,4,3,0,6
386,T3Run386,4,3,1,0
387,T3Run387,4,3,1,1
388,T3Run388,4,3,1,2
389,T3Run389,4,3,1,3
390,T3Run390,4,3,1,4
391,T3Run391,4,3,1,5
392,T3Run392,4,3,1,6
393,T3Run393,4,3,2,0
394,T3Run394,4,3,2,1
395,T3Run395,4,3,2,2
396,T3Run396,4,3,2,3
397,T3Run397,4,3,2,4
398,T3Run398,4,3,2,5
399,T3Run399,4,3,2,6
400,T3Run400,4,4,0,0
401,T3Run401,4,4,0,1
402,T3Run402,4,4,0,2
403,T3Run403,4,4,0,3
404,T3Run404,4,4,0,4
405,T3Run405,4,4,0,5
406,T3Run406,4,4,0,6
407,T3Run407,4,4,1,0
408,T3Run408,4,4,1,1
409,T3Run409,4,4,1,2
410,T3Run410,4,4,1,3
411,T3Run411,4,4,1,4
412,T3Run412,4,4,1,5
413,T3Run413,4,4,1,6
414,T3Run414,4,4,2,0
415,T3Run415,4,4,2,1
416,T3Run416,4,4,2,2
417,T3Run417,4,4,2,3
418,T3Run418,4,4,2,4
419,T3Run419,4,4,2,5
420,T3Run420,4,4,2,6
