Run Title,Alternative,NPV,IRR,AVE_IRI
T3Run165 Project Analysis,Upgrade,301516384,737.1699829,6.429999828
T3Run166 Project Analysis,Upgrade,306643808,749.3699951,6.409999847
T3Run167 Project Analysis,Upgrade,337781984,823.3699951,7.03000021
T3Run168 Project Analysis,Upgrade,368339008,896.0700073,7.170000076
T3Run169 Project Analysis,Upgrade,22067808,63.25,4.989999771
T3Run170 Project Analysis,Upgrade,21312916,61.72000122,4.900000095
T3Run171 Project Analysis,Upgrade,22548498,64.23000336,5.039999962
T3Run172 Project Analysis,Upgrade,21796000,62.75999832,4.929999828
T3Run173 Project Analysis,Upgrade,22282966,63.90000153,4.929999828
T3Run174 Project Analysis,Upgrade,24843812,69.01000214,5.210000038
T3Run175 Project Analysis,Upgrade,27919102,76.62000275,5.269999981
T3Run176 Project Analysis,Upgrade,61439848,154.4499969,5.46999979
T3Run177 Project Analysis,Upgrade,59513300,150.3699951,5.349999905
T3Run178 Project Analysis,Upgrade,62655624,157.0599976,5.53000021
T3Run179 Project Analysis,Upgrade,60695428,152.9900055,5.389999866
T3Run180 Project Analysis,Upgrade,61818580,155.6699982,5.380000114
T3Run181 Project Analysis,Upgrade,68380616,169.6199951,5.78000021
T3Run182 Project Analysis,Upgrade,75185056,186.4499969,5.860000134
T3Run183 Project Analysis,Upgrade,307118048,745.8200073,6.5
T3Run184 Project Analysis,Upgrade,297892544,724.0499878,6.309999943
T3Run185 Project Analysis,Upgrade,312901504,759.4799805,6.599999905
T3Run186 Project Analysis,Upgrade,303452864,737.25,6.389999866
T3Run187 Project Analysis,Upgrade,308576160,749.4500122,6.380000114
T3Run188 Project Analysis,Upgrade,339934656,823.4500122,6.989999771
T3Run189 Project Analysis,Upgrade,370398848,896.1400146,7.130000114
T3Run190 Project Analysis,Upgrade,20840650,61.36999893,5.28000021
T3Run191 Project Analysis,Upgrade,20208624,60.08000183,5.199999809
T3Run192 Project Analysis,Upgrade,21256284,62.22999954,5.329999924
T3Run193 Project Analysis,Upgrade,20648776,61.04000092,5.230000019
T3Run194 Project Analysis,Upgrade,21144702,62.22999954,5.21999979
T3Run195 Project Analysis,Upgrade,23308522,66.55000305,5.5
T3Run196 Project Analysis,Upgrade,26764632,74.93000031,5.570000172
T3Run197 Project Analysis,Upgrade,57836432,147.6300049,5.699999809
T3Run198 Project Analysis,Upgrade,56214872,144.1799927,5.579999924
T3Run199 Project Analysis,Upgrade,58888700,149.8999939,5.760000229
T3Run200 Project Analysis,Upgrade,57290076,146.5899963,5.619999886
T3Run201 Project Analysis,Upgrade,58432104,149.3099976,5.610000134
T3Run202 Project Analysis,Upgrade,63996996,161.1799927,6
T3Run203 Project Analysis,Upgrade,71854992,180.3000031,6.090000153
T3Run204 Project Analysis,Upgrade,289086016,703.4899902,6.590000153
T3Run205 Project Analysis,Upgrade,281313440,685.1500244,6.400000095
T3Run206 Project Analysis,Upgrade,294090176,715.3099976,6.699999809
T3Run207 Project Analysis,Upgrade,286361280,697.1099854,6.46999979
T3Run208 Project Analysis,Upgrade,291574528,709.5100098,6.460000038
T3Run209 Project Analysis,Upgrade,318178272,772.3099976,7.070000172
T3Run210 Project Analysis,Upgrade,353930560,857.6599731,7.210000038
T3Run211 Project Analysis,Upgrade,26094520,62.02999878,3.849999905
T3Run212 Project Analysis,Upgrade,25209398,60.45000076,3.799999952
T3Run213 Project Analysis,Upgrade,26735064,63.43000031,3.880000114
T3Run214 Project Analysis,Upgrade,25881414,62.00999832,3.819999933
T3Run215 Project Analysis,Upgrade,26620214,64.01999664,3.809999943
T3Run216 Project Analysis,Upgrade,29940278,71.01999664,3.980000019
T3Run217 Project Analysis,Upgrade,33976048,80.30999756,4.019999981
T3Run218 Project Analysis,Upgrade,74048304,157.1799927,4.309999943
T3Run219 Project Analysis,Upgrade,71779488,153.3200073,4.239999771
T3Run220 Project Analysis,Upgrade,75486328,159.6900024,4.360000134
T3Run221 Project Analysis,Upgrade,73592584,159.9100037,4.260000229
T3Run222 Project Analysis,Upgrade,74978632,162.8399963,4.260000229
T3Run223 Project Analysis,Upgrade,82841544,177.3500061,4.510000229
T3Run224 Project Analysis,Upgrade,91504872,197.4600067,4.570000172
T3Run225 Project Analysis,Upgrade,376622720,819.7199707,5.650000095
T3Run226 Project Analysis,Upgrade,365358304,795.8099976,5.510000229
T3Run227 Project Analysis,Upgrade,383692224,834.7299805,5.730000019
T3Run228 Project Analysis,Upgrade,372343136,812.789978,5.559999943
T3Run229 Project Analysis,Upgrade,378653472,826.2399902,5.550000191
T3Run231 Project Analysis,Upgrade,454614752,-9999.990234,6.150000095
T3Run232 Project Analysis,Upgrade,26094520,62.02999878,3.849999905
T3Run233 Project Analysis,Upgrade,25209398,60.45000076,3.799999952
T3Run234 Project Analysis,Upgrade,26735064,63.43000031,3.880000114
T3Run235 Project Analysis,Upgrade,25881414,62.00999832,3.819999933
T3Run236 Project Analysis,Upgrade,26620214,64.01999664,3.809999943
T3Run237 Project Analysis,Upgrade,29940278,71.01999664,3.980000019
T3Run238 Project Analysis,Upgrade,33976048,80.30999756,4.019999981
T3Run239 Project Analysis,Upgrade,74048304,157.1799927,4.309999943
T3Run240 Project Analysis,Upgrade,71779488,153.3200073,4.239999771
T3Run241 Project Analysis,Upgrade,75486328,159.6900024,4.360000134
T3Run242 Project Analysis,Upgrade,73592584,159.9100037,4.260000229
T3Run243 Project Analysis,Upgrade,74978632,162.8399963,4.260000229
T3Run244 Project Analysis,Upgrade,82841544,177.3500061,4.510000229
T3Run245 Project Analysis,Upgrade,91504872,197.4600067,4.570000172
T3Run246 Project Analysis,Upgrade,376622720,819.7199707,5.650000095
T3Run247 Project Analysis,Upgrade,365358304,795.8099976,5.510000229
T3Run248 Project Analysis,Upgrade,383692224,834.7299805,5.730000019
T3Run249 Project Analysis,Upgrade,372343136,812.789978,5.559999943
T3Run250 Project Analysis,Upgrade,378653472,826.2399902,5.550000191
T3Run251 Project Analysis,Upgrade,416995328,-9999.990234,6.039999962
T3Run252 Project Analysis,Upgrade,454614752,-9999.990234,6.150000095
T3Run253 Project Analysis,Upgrade,27942470,70.51999664,4.75
T3Run254 Project Analysis,Upgrade,27012560,68.80999756,4.659999847
T3Run255 Project Analysis,Upgrade,28535488,71.62000275,4.800000191
T3Run256 Project Analysis,Upgrade,27607682,69.95999908,4.690000057
T3Run257 Project Analysis,Upgrade,28224262,71.29000092,4.690000057
T3Run258 Project Analysis,Upgrade,31378736,77.01000214,4.96999979
T3Run259 Project Analysis,Upgrade,35193072,85.52999878,5.039999962
T3Run260 Project Analysis,Upgrade,75964472,171.1799927,5.309999943
T3Run261 Project Analysis,Upgrade,73614392,166.6399994,5.190000057
T3Run262 Project Analysis,Upgrade,77449400,174.0800018,5.380000114
T3Run263 Project Analysis,Upgrade,75096520,169.7599945,5.239999771
T3Run264 Project Analysis,Upgrade,76479976,172.7100067,5.230000019
T3Run265 Project Analysis,Upgrade,84486256,188.2299957,5.630000114
T3Run266 Project Analysis,Upgrade,92897816,206.9199982,5.710000038
T3Run267 Project Analysis,Upgrade,375319552,824.4500122,6.659999847
T3Run268 Project Analysis,Upgrade,364048768,800.4400024,6.46999979
T3Run269 Project Analysis,Upgrade,382392576,839.5200195,6.769999981
T3Run270 Project Analysis,Upgrade,370868896,815.0900269,6.550000191
T3Run271 Project Analysis,Upgrade,377178816,828.5499878,6.539999962
T3Run272 Project Analysis,Upgrade,415500032,-9999.990234,7.159999847
T3Run273 Project Analysis,Upgrade,453102560,-9999.990234,7.300000191
T3Run274 Project Analysis,Upgrade,28798646,71.87000275,5.010000229
T3Run275 Project Analysis,Upgrade,27848428,70.18000031,4.920000076
T3Run276 Project Analysis,Upgrade,29401868,72.95999908,5.050000191
T3Run277 Project Analysis,Upgrade,28449842,71.33000183,4.949999809
T3Run278 Project Analysis,Upgrade,29047698,72.58999634,4.940000057
T3Run279 Project Analysis,Upgrade,32272452,78.26000214,5.230000019
T3Run280 Project Analysis,Upgrade,36017716,86.62999725,5.289999962
T3Run281 Project Analysis,Upgrade,77212392,172.8300018,5.489999771
T3Run282 Project Analysis,Upgrade,74817408,168.2899933,5.369999886
T3Run283 Project Analysis,Upgrade,78721464,175.7400055,5.550000191
T3Run284 Project Analysis,Upgrade,76280640,171.1999969,5.409999847
T3Run285 Project Analysis,Upgrade,77661296,174.1499939,5.400000095
