Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
103 ,T6Run103 Project Analysis,Overlay,1532835968,873.8699951,6.380000114,206
104 ,T6Run104 Project Analysis,Overlay,1407920512,773.3900146,6.389999866,208
105 ,T6Run105 Project Analysis,Overlay,1134871680,672.8099976,6.440000057,210
106 ,T6Run106 Project Analysis,Overlay,7087679.5,27.15999985,2.710000038,212
107 ,T6Run107 Project Analysis,Overlay,7726961.5,28.27000046,2.720000029,214
108 ,T6Run108 Project Analysis,Overlay,7414572,27.77000046,2.710000038,216
109 ,T6Run109 Project Analysis,Overlay,8319741.5,29.29000092,2.720000029,218
110 ,T6Run110 Project Analysis,Overlay,7710276,28.07999992,2.720000029,220
111 ,T6Run111 Project Analysis,Overlay,7119597,27.46999931,2.720000029,222
112 ,T6Run112 Project Analysis,Overlay,5400768,24.29999924,2.720000029,224
113 ,T6Run113 Project Analysis,Overlay,83509840,83.18000031,2.710000038,226
114 ,T6Run114 Project Analysis,Overlay,86075552,85.86000061,2.720000029,228
115 ,T6Run115 Project Analysis,Overlay,84644800,84.58000183,2.710000038,230
116 ,T6Run116 Project Analysis,Overlay,87808856,88.31999969,2.720000029,232
117 ,T6Run117 Project Analysis,Overlay,83688688,85.11000061,2.730000019,234
118 ,T6Run118 Project Analysis,Overlay,78254256,84.70999908,2.74000001,236
119 ,T6Run119 Project Analysis,Overlay,66812420,77.56999969,2.75,238
120 ,T6Run120 Project Analysis,Overlay,323724800,214.8099976,2.849999905,240
121 ,T6Run121 Project Analysis,Overlay,330572736,225.3099976,2.859999895,242
122 ,T6Run122 Project Analysis,Overlay,327013696,220.4299927,2.849999905,244
123 ,T6Run123 Project Analysis,Overlay,334538304,237.5299988,2.880000114,246
124 ,T6Run124 Project Analysis,Overlay,318276928,231.3899994,2.900000095,248
125 ,T6Run125 Project Analysis,Overlay,298736160,233.0800018,2.910000086,250
126 ,T6Run126 Project Analysis,Overlay,256592048,215.3300018,2.950000048,252
127 ,T6Run127 Project Analysis,Overlay,7391729,27.54999924,2.720000029,254
128 ,T6Run128 Project Analysis,Overlay,8034450.5,28.63999939,2.720000029,256
129 ,T6Run129 Project Analysis,Overlay,7717152,28.12999916,2.720000029,258
130 ,T6Run130 Project Analysis,Overlay,8621301,29.63999939,2.720000029,260
131 ,T6Run131 Project Analysis,Overlay,8000662.5,28.45000076,2.720000029,262
132 ,T6Run132 Project Analysis,Overlay,7370230.5,27.79000092,2.720000029,264
133 ,T6Run133 Project Analysis,Overlay,5611145,24.62000084,2.730000019,266
134 ,T6Run134 Project Analysis,Overlay,90443832,90.06999969,2.730000019,268
135 ,T6Run135 Project Analysis,Overlay,93019936,93.05000305,2.74000001,270
136 ,T6Run136 Project Analysis,Overlay,91583000,91.68000031,2.74000001,272
137 ,T6Run137 Project Analysis,Overlay,94623344,95.81999969,2.75,274
138 ,T6Run138 Project Analysis,Overlay,89925712,92.15000153,2.75999999,276
139 ,T6Run139 Project Analysis,Overlay,84050896,91.75,2.75999999,278
140 ,T6Run140 Project Analysis,Overlay,71569936,83.62000275,2.769999981,280
141 ,T6Run141 Project Analysis,Overlay,351407360,242.7100067,2.880000114,282
142 ,T6Run142 Project Analysis,Overlay,358214784,254.1600037,2.890000105,284
143 ,T6Run143 Project Analysis,Overlay,354628640,249.1399994,2.880000114,286
144 ,T6Run144 Project Analysis,Overlay,361440608,267.3800049,2.910000086,288
145 ,T6Run145 Project Analysis,Overlay,342502272,259.2999878,2.930000067,290
146 ,T6Run146 Project Analysis,Overlay,321042752,260.4899902,2.940000057,292
147 ,T6Run147 Project Analysis,Overlay,274478400,238.5599976,2.980000019,294
148 ,T6Run148 Project Analysis,Overlay,47359480,49.25,3.160000086,296
149 ,T6Run149 Project Analysis,Overlay,48711968,50.97999954,3.160000086,298
150 ,T6Run150 Project Analysis,Overlay,47947132,50.27000046,3.160000086,300
151 ,T6Run151 Project Analysis,Overlay,49328536,52.84999847,3.160000086,302
152 ,T6Run152 Project Analysis,Overlay,46263084,51.25,3.160000086,304
153 ,T6Run153 Project Analysis,Overlay,42244636,49.77000046,3.160000086,306
154 ,T6Run154 Project Analysis,Overlay,34396384,44.95999908,3.160000086,308
155 ,T6Run155 Project Analysis,Overlay,305269792,176.7899933,3.289999962,310
156 ,T6Run156 Project Analysis,Overlay,309568416,185.0500031,3.289999962,312
157 ,T6Run157 Project Analysis,Overlay,307017600,182.0500031,3.289999962,314
158 ,T6Run158 Project Analysis,Overlay,308943744,194.6799927,3.299999952,316
159 ,T6Run159 Project Analysis,Overlay,289861152,187.6499939,3.299999952,318
160 ,T6Run160 Project Analysis,Overlay,268531296,183.9600067,3.299999952,320
161 ,T6Run161 Project Analysis,Overlay,225187424,164.9100037,3.309999943,322
162 ,T6Run162 Project Analysis,Overlay,1131483136,473.2999878,3.450000048,324
163 ,T6Run163 Project Analysis,Overlay,1135362816,497.5799866,3.450000048,326
164 ,T6Run164 Project Analysis,Overlay,1132897152,488.6499939,3.450000048,327
165 ,T6Run165 Project Analysis,Overlay,1117717376,526.9400024,3.460000038,330
166 ,T6Run166 Project Analysis,Overlay,1036795520,509.8099976,3.480000019,332
167 ,T6Run167 Project Analysis,Overlay,963081472,497.4299927,3.480000019,334
168 ,T6Run168 Project Analysis,Overlay,800950784,445.8800049,3.50999999,336
169 ,T6Run169 Project Analysis,Overlay,114245912,63.79999924,3.309999943,338
170 ,T6Run170 Project Analysis,Overlay,115518056,66.04000092,3.309999943,340
171 ,T6Run171 Project Analysis,Overlay,114643616,64.88999939,3.309999943,342
172 ,T6Run172 Project Analysis,Overlay,114478672,68.25,3.319999933,344
173 ,T6Run173 Project Analysis,Overlay,106431328,66.68000031,3.319999933,346
174 ,T6Run174 Project Analysis,Overlay,96998616,63.31999969,3.319999933,348
175 ,T6Run175 Project Analysis,Overlay,78919960,57.20999908,3.319999933,350
176 ,T6Run176 Project Analysis,Overlay,606181632,226.8300018,3.640000105,352
177 ,T6Run177 Project Analysis,Overlay,608287488,237.6999969,3.640000105,354
178 ,T6Run178 Project Analysis,Overlay,606393024,232.5800018,3.640000105,356
179 ,T6Run179 Project Analysis,Overlay,598238016,249.4400024,3.650000095,358
180 ,T6Run180 Project Analysis,Overlay,555841344,243.4799957,3.670000076,360
181 ,T6Run181 Project Analysis,Overlay,512149312,232.3800049,3.670000076,362
182 ,T6Run182 Project Analysis,Overlay,423869536,209.3500061,3.700000048,364
183 ,T6Run183 Project Analysis,Overlay,1758793088,602.8400269,4.820000172,366
184 ,T6Run184 Project Analysis,Overlay,1750883072,632.8200073,4.840000153,368
185 ,T6Run185 Project Analysis,Overlay,1752909056,617.5100098,4.829999924,370
186 ,T6Run186 Project Analysis,Overlay,1702089856,663.2399902,4.869999886,372
187 ,T6Run187 Project Analysis,Overlay,1566259200,647.7399902,4.909999847,374
188 ,T6Run188 Project Analysis,Overlay,1442338816,612.9799805,4.920000076,376
189 ,T6Run189 Project Analysis,Overlay,1180518784,549.5499878,4.989999771,378
190 ,T6Run190 Project Analysis,Overlay,156534176,92.81999969,4.619999886,380
191 ,T6Run191 Project Analysis,Overlay,155897600,94.62000275,4.619999886,382
192 ,T6Run192 Project Analysis,Overlay,155784608,92.97000122,4.619999886,384
193 ,T6Run193 Project Analysis,Overlay,151186592,94.58000183,4.619999886,386
194 ,T6Run194 Project Analysis,Overlay,138860528,92.12999725,4.630000114,388
195 ,T6Run195 Project Analysis,Overlay,125451208,83.02999878,4.630000114,390
196 ,T6Run196 Project Analysis,Overlay,100198728,72.87000275,4.639999866,392
197 ,T6Run197 Project Analysis,Overlay,727958144,337.4400024,5.179999828,394
198 ,T6Run198 Project Analysis,Overlay,722490880,346.8599854,5.190000057,396
199 ,T6Run199 Project Analysis,Overlay,723808768,338.8900146,5.179999828,398
200 ,T6Run200 Project Analysis,Overlay,698584128,349.1700134,5.199999809,400
201 ,T6Run201 Project Analysis,Overlay,641827776,341,5.21999979,402
202 ,T6Run202 Project Analysis,Overlay,586780544,304.2999878,5.21999979,404
203 ,T6Run203 Project Analysis,Overlay,476188832,266.5799866,5.25,406
204 ,T6Run204 Project Analysis,Overlay,1934009856,882.3300171,6.400000095,408
205 ,T6Run205 Project Analysis,Overlay,1907937536,-9999.990234,6.409999847,410
206 ,T6Run206 Project Analysis,Overlay,1919422720,884.5499878,6.409999847,412
207 ,T6Run207 Project Analysis,Overlay,1830950016,-9999.990234,6.440000057,414
208 ,T6Run208 Project Analysis,Overlay,1665734400,884.2999878,6.480000019,416
209 ,T6Run209 Project Analysis,Overlay,1531923968,782.75,6.489999771,418
210 ,T6Run210 Project Analysis,Overlay,1233304576,681.0700073,6.539999962,420
211 ,T6Run211 Project Analysis,Overlay,13215181,34.86999893,2.730000019,422
212 ,T6Run212 Project Analysis,Overlay,14089854,36.04000092,2.730000019,424
213 ,T6Run213 Project Analysis,Overlay,13644506,35.52999878,2.730000019,426
214 ,T6Run214 Project Analysis,Overlay,14864628,37.13000107,2.730000019,428
215 ,T6Run215 Project Analysis,Overlay,14029250,35.81000137,2.74000001,430
216 ,T6Run216 Project Analysis,Overlay,13028525,35.15000153,2.74000001,432
217 ,T6Run217 Project Analysis,Overlay,10569980,31.71999931,2.74000001,434
218 ,T6Run218 Project Analysis,Overlay,139853152,98.80999756,2.730000019,436
219 ,T6Run219 Project Analysis,Overlay,142824400,101.9800034,2.74000001,438
220 ,T6Run220 Project Analysis,Overlay,141216608,100.4800034,2.74000001,440
221 ,T6Run221 Project Analysis,Overlay,144133088,104.9400024,2.75,442
222 ,T6Run222 Project Analysis,Overlay,136240560,101.1299973,2.75999999,444
223 ,T6Run223 Project Analysis,Overlay,127485072,100.7799988,2.769999981,446
224 ,T6Run224 Project Analysis,Overlay,108267216,92.37000275,2.779999971,448
225 ,T6Run225 Project Analysis,Overlay,529292416,261.7600098,2.890000105,450
226 ,T6Run226 Project Analysis,Overlay,536520640,274.7000122,2.900000095,452
227 ,T6Run227 Project Analysis,Overlay,532784832,268.7600098,2.900000095,454
228 ,T6Run228 Project Analysis,Overlay,537326912,290,2.930000067,456
229 ,T6Run229 Project Analysis,Overlay,506126560,282.8800049,2.960000038,458
230 ,T6Run230 Project Analysis,Overlay,474134016,284.9200134,2.970000029,460
231 ,T6Run231 Project Analysis,Overlay,402635776,263.4400024,3.00999999,462
232 ,T6Run232 Project Analysis,Overlay,13784603,35.38999939,2.74000001,464
233 ,T6Run233 Project Analysis,Overlay,14665856,36.56000137,2.74000001,466
234 ,T6Run234 Project Analysis,Overlay,14211831,36.02000046,2.74000001,468
235 ,T6Run235 Project Analysis,Overlay,15430574,37.63000107,2.74000001,470
236 ,T6Run236 Project Analysis,Overlay,14573846,36.29999924,2.74000001,472
237 ,T6Run237 Project Analysis,Overlay,13501035,35.61999893,2.74000001,474
238 ,T6Run238 Project Analysis,Overlay,10966121,32.15000153,2.75,476
239 ,T6Run239 Project Analysis,Overlay,150201104,106.8399963,2.75999999,478
240 ,T6Run240 Project Analysis,Overlay,153222368,110.3600006,2.75999999,480
241 ,T6Run241 Project Analysis,Overlay,151570352,108.7399979,2.75999999,482
242 ,T6Run242 Project Analysis,Overlay,154370176,113.6699982,2.769999981,484
243 ,T6Run243 Project Analysis,Overlay,145607904,109.3799973,2.779999971,486
