Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
135 ,T6Run135 Project Analysis,Reseal,50672600,43.65000153,4.480000019,269
136 ,T6Run136 Project Analysis,Reseal,50008132,43.15999985,4.480000019,271
137 ,T6Run137 Project Analysis,Reseal,50113560,44.16999817,4.480000019,273
138 ,T6Run138 Project Analysis,Reseal,46917464,43.02000046,4.489999771,275
139 ,T6Run139 Project Analysis,Reseal,42225392,42.09999847,4.489999771,277
140 ,T6Run140 Project Analysis,Reseal,34018024,38.81000137,4.510000229,279
141 ,T6Run141 Project Analysis,Reseal,241996272,93.41000366,4.710000038,281
142 ,T6Run142 Project Analysis,Reseal,243190160,96.69000244,4.71999979,283
143 ,T6Run143 Project Analysis,Reseal,241888976,94.94000244,4.71999979,285
144 ,T6Run144 Project Analysis,Reseal,239780848,99.88999939,4.75,287
145 ,T6Run145 Project Analysis,Reseal,223377056,96.69999695,4.769999981,289
146 ,T6Run146 Project Analysis,Reseal,206137232,96.76999664,4.78000021,291
147 ,T6Run147 Project Analysis,Reseal,169625808,88.33999634,4.829999924,293
148 ,T6Run148 Project Analysis,Reseal,888787.63,12.81000042,7.809999943,295
149 ,T6Run149 Project Analysis,Reseal,695240.31,12.64999962,7.809999943,297
150 ,T6Run150 Project Analysis,Reseal,784865.94,12.72000027,7.809999943,299
151 ,T6Run151 Project Analysis,Reseal,219607.44,12.22000027,7.809999943,301
152 ,T6Run152 Project Analysis,Reseal,-893945.5,11.10999966,7.809999943,303
153 ,T6Run153 Project Analysis,Reseal,-1681292.25,10.30000019,7.809999943,305
154 ,T6Run154 Project Analysis,Reseal,-3575088.5,7.849999905,7.820000172,307
155 ,T6Run155 Project Analysis,Reseal,77038040,38.84999847,8.569999695,309
156 ,T6Run156 Project Analysis,Reseal,75676496,38.95999908,8.569999695,311
157 ,T6Run157 Project Analysis,Reseal,76397576,38.79999924,8.569999695,313
158 ,T6Run158 Project Analysis,Reseal,72238824,38.70000076,8.569999695,315
159 ,T6Run159 Project Analysis,Reseal,64001368,37.63999939,8.569999695,317
160 ,T6Run160 Project Analysis,Reseal,59011488,36.22999954,8.569999695,319
161 ,T6Run161 Project Analysis,Reseal,45164724,33.16999817,8.569999695,321
162 ,T6Run162 Project Analysis,Reseal,666484352,97.22000122,8,323
163 ,T6Run163 Project Analysis,Reseal,656884736,99.01000214,8,325
164 ,T6Run164 Project Analysis,Reseal,662024192,97.98000336,8,328
165 ,T6Run165 Project Analysis,Reseal,631014656,100.6600037,8,329
166 ,T6Run166 Project Analysis,Reseal,569121216,99.05000305,8,331
167 ,T6Run167 Project Analysis,Reseal,530473664,96.45999908,8,333
168 ,T6Run168 Project Analysis,Reseal,426379584,90.05999756,8,335
169 ,T6Run169 Project Analysis,Reseal,12720796,26.72999954,10.89000034,337
170 ,T6Run170 Project Analysis,Reseal,12240320,26.5,10.89000034,339
171 ,T6Run171 Project Analysis,Reseal,12506124,26.54000092,10.89000034,341
172 ,T6Run172 Project Analysis,Reseal,11161485,25.65999985,10.89000034,343
173 ,T6Run173 Project Analysis,Reseal,8972510,24.03000069,10.89999962,345
174 ,T6Run174 Project Analysis,Reseal,7458619,22.01000023,10.89000034,347
175 ,T6Run175 Project Analysis,Reseal,3819522.75,17.96999931,10.89999962,349
176 ,T6Run176 Project Analysis,Reseal,93029072,86.86000061,11.93000031,351
177 ,T6Run177 Project Analysis,Reseal,90920032,87.76000214,11.93000031,353
178 ,T6Run178 Project Analysis,Reseal,92154288,86.43000031,11.93000031,355
179 ,T6Run179 Project Analysis,Reseal,86392088,86.62999725,11.93000031,357
180 ,T6Run180 Project Analysis,Reseal,76613016,85,11.93000031,359
181 ,T6Run181 Project Analysis,Reseal,70562472,77.13999939,11.93000031,361
182 ,T6Run182 Project Analysis,Reseal,54690376,69.43000031,11.93000031,363
183 ,T6Run183 Project Analysis,Reseal,251462032,249.0899963,12.93999958,365
184 ,T6Run184 Project Analysis,Reseal,246386528,254.3800049,12.93999958,367
185 ,T6Run185 Project Analysis,Reseal,249353280,247.4199982,12.93999958,369
186 ,T6Run186 Project Analysis,Reseal,234833040,251.5200043,12.93999958,371
187 ,T6Run187 Project Analysis,Reseal,209249808,248.3200073,12.93999958,373
188 ,T6Run188 Project Analysis,Reseal,195336320,219.1799927,12.93999958,375
189 ,T6Run189 Project Analysis,Reseal,154963616,196.3800049,12.93999958,377
190 ,T6Run190 Project Analysis,Reseal,11786121,37.52999878,12.94999981,379
191 ,T6Run191 Project Analysis,Reseal,11152576,36.68000031,12.94999981,381
192 ,T6Run192 Project Analysis,Reseal,11583389,37.09999847,12.94999981,383
193 ,T6Run193 Project Analysis,Reseal,10037203,34.84000015,12.94999981,385
194 ,T6Run194 Project Analysis,Reseal,7687379,31.51000023,12.94999981,387
195 ,T6Run195 Project Analysis,Reseal,6504528,28.44000053,12.94999981,389
196 ,T6Run196 Project Analysis,Reseal,2834734,20.85000038,12.94999981,391
197 ,T6Run197 Project Analysis,Reseal,83536768,139.7899933,13.46000004,393
198 ,T6Run198 Project Analysis,Reseal,81302128,137.7100067,13.46000004,395
199 ,T6Run199 Project Analysis,Reseal,82771272,137.9900055,13.46000004,397
200 ,T6Run200 Project Analysis,Reseal,76757832,131.6999969,13.46000004,399
201 ,T6Run201 Project Analysis,Reseal,66909152,126.1200027,13.46000004,401
202 ,T6Run202 Project Analysis,Reseal,62598348,111.7600021,13.46000004,403
203 ,T6Run203 Project Analysis,Reseal,47514284,95.02999878,13.46000004,405
204 ,T6Run204 Project Analysis,Reseal,227161056,363.9899902,14,407
205 ,T6Run205 Project Analysis,Reseal,221531840,357.9200134,14,409
206 ,T6Run206 Project Analysis,Reseal,225351344,358.9700012,14,411
207 ,T6Run207 Project Analysis,Reseal,209792960,341.1199951,14,413
208 ,T6Run208 Project Analysis,Reseal,184358144,327.2000122,14,415
209 ,T6Run209 Project Analysis,Reseal,174432736,286.5400085,14,417
210 ,T6Run210 Project Analysis,Reseal,136541728,241.2100067,14,419
211 ,T6Run211 Project Analysis,Reseal,-3462078.5,2.539999962,4.730000019,421
212 ,T6Run212 Project Analysis,Reseal,-3380337.5,2.75999999,4.730000019,423
213 ,T6Run213 Project Analysis,Reseal,-3470321.5,2.440000057,4.730000019,425
214 ,T6Run214 Project Analysis,Reseal,-3407135.5,2.480000019,4.730000019,427
215 ,T6Run215 Project Analysis,Reseal,-3566502.75,1.850000024,4.730000019,429
216 ,T6Run216 Project Analysis,Reseal,-3943604.5,-0.400000006,4.730000019,431
217 ,T6Run217 Project Analysis,Reseal,-4482739,-3.74000001,4.730000019,433
218 ,T6Run218 Project Analysis,Reseal,83202800,45.59999847,4.519999981,435
219 ,T6Run219 Project Analysis,Reseal,83440432,46.20000076,4.519999981,437
220 ,T6Run220 Project Analysis,Reseal,82951784,45.79999924,4.519999981,439
221 ,T6Run221 Project Analysis,Reseal,81754080,46.56999969,4.53000021,441
222 ,T6Run222 Project Analysis,Reseal,75902288,45.52999878,4.539999962,443
223 ,T6Run223 Project Analysis,Reseal,69005536,44.61000061,4.539999962,445
224 ,T6Run224 Project Analysis,Reseal,55763536,41.54000092,4.559999943,447
225 ,T6Run225 Project Analysis,Reseal,372298976,82.72000122,4.78000021,449
226 ,T6Run226 Project Analysis,Reseal,371542368,85.08000183,4.800000191,451
227 ,T6Run227 Project Analysis,Reseal,371206976,83.69999695,4.789999962,453
228 ,T6Run228 Project Analysis,Reseal,363130464,87.44000244,4.820000172,455
229 ,T6Run229 Project Analysis,Reseal,335372480,85.52999878,4.849999905,457
230 ,T6Run230 Project Analysis,Reseal,310210720,85.26000214,4.860000134,459
231 ,T6Run231 Project Analysis,Reseal,253181936,79.15000153,4.909999847,461
232 ,T6Run232 Project Analysis,Reseal,-2927392,4.619999886,4.730000019,463
233 ,T6Run233 Project Analysis,Reseal,-2839998,4.820000172,4.730000019,465
234 ,T6Run234 Project Analysis,Reseal,-2938127.75,4.53000021,4.730000019,467
235 ,T6Run235 Project Analysis,Reseal,-2877626,4.579999924,4.730000019,469
236 ,T6Run236 Project Analysis,Reseal,-3057832,3.950000048,4.739999771,471
237 ,T6Run237 Project Analysis,Reseal,-3502295.75,1.830000043,4.739999771,473
238 ,T6Run238 Project Analysis,Reseal,-4113821,-1.279999971,4.739999771,475
239 ,T6Run239 Project Analysis,Reseal,94069952,51.02999878,4.53000021,477
240 ,T6Run240 Project Analysis,Reseal,94377248,51.86999893,4.539999962,479
241 ,T6Run241 Project Analysis,Reseal,93835456,51.38000107,4.53000021,481
242 ,T6Run242 Project Analysis,Reseal,92554752,52.47999954,4.539999962,483
243 ,T6Run243 Project Analysis,Reseal,85817008,51.13999939,4.550000191,485
244 ,T6Run244 Project Analysis,Reseal,78317856,50.27000046,4.550000191,487
245 ,T6Run245 Project Analysis,Reseal,63456368,46.66999817,4.570000172,489
246 ,T6Run246 Project Analysis,Reseal,385726272,94.68000031,4.800000191,491
247 ,T6Run247 Project Analysis,Reseal,384761664,97.79000092,4.809999943,493
248 ,T6Run248 Project Analysis,Reseal,384548480,96.05000305,4.800000191,495
249 ,T6Run249 Project Analysis,Reseal,375703648,100.7799988,4.829999924,497
250 ,T6Run250 Project Analysis,Reseal,346353088,97.72000122,4.860000134,499
251 ,T6Run251 Project Analysis,Reseal,320318080,97.58999634,4.869999886,501
252 ,T6Run252 Project Analysis,Reseal,261241488,89.41000366,4.909999847,503
253 ,T6Run253 Project Analysis,Reseal,6082005.5,16.42000008,7.849999905,505
254 ,T6Run254 Project Analysis,Reseal,5798044.5,16.27000046,7.849999905,507
255 ,T6Run255 Project Analysis,Reseal,5938025,16.32999992,7.849999905,509
256 ,T6Run256 Project Analysis,Reseal,5103502.5,15.85000038,7.849999905,511
257 ,T6Run257 Project Analysis,Reseal,3452174.5,14.81999969,7.849999905,513
258 ,T6Run258 Project Analysis,Reseal,2417116.5,14,7.849999905,515
259 ,T6Run259 Project Analysis,Reseal,-282943.5,11.75,7.849999905,517
260 ,T6Run260 Project Analysis,Reseal,109468088,43.50999832,8.739999771,519
261 ,T6Run261 Project Analysis,Reseal,107522216,43.63999939,8.739999771,521
262 ,T6Run262 Project Analysis,Reseal,108599848,43.45999908,8.739999771,523
263 ,T6Run263 Project Analysis,Reseal,102525704,43.36000061,8.739999771,525
264 ,T6Run264 Project Analysis,Reseal,91094464,42.25,8.739999771,527
265 ,T6Run265 Project Analysis,Reseal,84679496,40.79000092,8.739999771,529
266 ,T6Run266 Project Analysis,Reseal,65561392,37.59999847,8.739999771,531
267 ,T6Run267 Project Analysis,Reseal,899132416,104.4599991,8.069999695,533
268 ,T6Run268 Project Analysis,Reseal,885142976,106.25,8.069999695,535
269 ,T6Run269 Project Analysis,Reseal,893042816,105.2099991,8.069999695,537
270 ,T6Run270 Project Analysis,Reseal,848381888,107.8600006,8.069999695,539
271 ,T6Run271 Project Analysis,Reseal,763072064,106.1699982,8.069999695,541
272 ,T6Run272 Project Analysis,Reseal,714042240,103.4700012,8.069999695,543
273 ,T6Run273 Project Analysis,Reseal,573012800,96.81999969,8.069999695,545
274 ,T6Run274 Project Analysis,Reseal,18140394,30.20000076,10.94999981,547
275 ,T6Run275 Project Analysis,Reseal,17539568,29.97999954,10.94999981,549
276 ,T6Run276 Project Analysis,Reseal,17890078,30.01000023,10.94999981,551
277 ,T6Run277 Project Analysis,Reseal,16168881,29.13999939,10.94999981,553
278 ,T6Run278 Project Analysis,Reseal,13446090,27.57999992,10.94999981,555
279 ,T6Run279 Project Analysis,Reseal,11722516,25.56999969,10.94999981,557
280 ,T6Run280 Project Analysis,Reseal,7185446,21.63999939,10.94999981,559
281 ,T6Run281 Project Analysis,Reseal,111473808,92.41999817,12.02000046,561
282 ,T6Run282 Project Analysis,Reseal,109072016,93.33000183,12.02000046,563
283 ,T6Run283 Project Analysis,Reseal,110469672,91.97000122,12.02000046,565
284 ,T6Run284 Project Analysis,Reseal,103634544,92.16999817,12.02000046,568
285 ,T6Run285 Project Analysis,Reseal,91843328,90.44999695,12.02000046,569
286 ,T6Run286 Project Analysis,Reseal,85014464,82.43000031,12.02000046,571
287 ,T6Run287 Project Analysis,Reseal,66264040,74.48999786,12.02000046,573
288 ,T6Run288 Project Analysis,Reseal,281162624,259.3599854,13.01000023,575
289 ,T6Run289 Project Analysis,Reseal,275395648,264.730011,13.01000023,577
290 ,T6Run290 Project Analysis,Reseal,278832768,257.6300049,13.01000023,579
291 ,T6Run291 Project Analysis,Reseal,262382432,261.7099915,13.01000023,581
292 ,T6Run292 Project Analysis,Reseal,233410624,258.3200073,13.01000023,583
293 ,T6Run293 Project Analysis,Reseal,218392976,228.4100037,13.01000023,585
294 ,T6Run294 Project Analysis,Reseal,173494064,204.8300018,13.01000023,587
295 ,T6Run295 Project Analysis,Reseal,15250611,41.22000122,12.97000027,589
296 ,T6Run296 Project Analysis,Reseal,14509035,40.36999893,12.97000027,591
297 ,T6Run297 Project Analysis,Reseal,15018689,40.79000092,12.97000027,593
298 ,T6Run298 Project Analysis,Reseal,13243765,38.54999924,12.97000027,595
299 ,T6Run299 Project Analysis,Reseal,10485248,35.27000046,12.97000027,597
