Run,TG,Co,Tv,GE,,NPV,IRR,AVE_IRI,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA
79,1,3,2,1,,1453180160,-9999.990234,3.809999943,6682752,0,0,"974,740,960","10,271",0.25,478636736,10314,0.73,,,
80,1,3,2,2,,1456826496,-9999.990234,3.809999943,3646336,0,0,"978,696,896","10,266",0.25,485573632,10307,0.73,,,
81,1,3,2,3,,1415423872,-9999.990234,3.809999943,41402624,0,0,"947,553,024","10,271",0.25,455243776,10329,0.73,,,
82,1,3,2,4,,1297793408,866.7399902,3.809999943,117630464,10866.73022,0,"866,210,688",605,0.25,406433280,548,0.73,,,
83,1,3,2,5,,1208952960,785.1300049,3.809999943,88840448,81.6099853,0,"810,312,064",548,0.25,380860928,479,0.73,,,
84,1,3,2,6,,989670016,658.9299927,3.809999943,219282944,126.2000122,0,"663,399,936",454,0.25,301423680,386,0.73,,,
85,1,4,0,0,,121515576,102.1299973,3.960000038,,,,"1,338,347,336","10,102",0.15,36662440,39,0.53,,,
86,1,4,0,1,,121055160,102.6399994,3.960000038,460416,0.5100021,0,"1,332,125,000","10,103",0.15,35739808,38,0.53,,,
87,1,4,0,2,,121257616,102.0899963,3.960000038,202456,0.5500031,0,"1,335,568,880","10,102",0.15,36392584,38,0.53,,,
88,1,4,0,3,,117745488,101.2600021,3.960000038,3512128,0.8299942,0,"1,297,678,384","10,101",0.15,34060672,37,0.53,,,
89,1,4,0,4,,106896328,95.80000305,3.960000038,10849160,5.45999905,0,"1,190,897,080",771,0.15,30076576,33,0.53,,,
90,1,4,0,5,,98191088,88.33000183,3.960000038,8705240,7.47000122,0,"1,110,761,872",697,0.15,28717624,31,0.53,,,
91,1,4,0,6,,77457040,74.65000153,3.960000038,20734048,13.6800003,0,"912,212,976",584,0.15,22632228,24,0.53,,,
92,1,4,1,0,,586528192,430.9299927,4.079999924,,,,"465,012,616",329,0.12,107810496,166,0.52,,,
93,1,4,1,1,,583666624,432.7200012,4.079999924,2861568,1.7900085,0,"462,611,464",330,0.12,105227424,162,0.52,,,
94,1,4,1,2,,585243520,430.6000061,4.079999924,1576896,2.1199951,0,"463,985,904",329,0.12,107113920,164,0.52,,,
95,1,4,1,3,,568097472,426.1000061,4.079999924,17146048,4.5,0,"450,351,984",325,0.12,100226624,155,0.52,,,
96,1,4,1,4,,518978176,400.1099854,4.079999924,49119296,25.9900207,0,"412,081,848",304,0.12,87395456,139,0.52,,,
97,1,4,1,5,,483624800,368.2399902,4.079999924,35353376,31.8699952,0,"385,433,712",280,0.12,84983904,131,0.52,,,
98,1,4,1,6,,393334368,306.2799988,4.090000153,90290432,61.9599914,0.010000229,"315,877,328",232,0.13,67064288,101,0.53,,,
99,1,4,2,0,,1617627520,-9999.990234,4.329999924,,,,"1,031,099,328","10,431",0.25,157764608,0,0.52,,,
100,1,4,2,1,,1607027072,-9999.990234,4.329999924,10600448,0,0,"1,023,360,448","10,433",0.25,153846912,0,0.52,,,
101,1,4,2,2,,1613725952,-9999.990234,4.329999924,6698880,0,0,"1,028,482,432","10,431",0.25,156899456,0,0.52,,,
102,1,4,2,3,,1561634816,-9999.990234,4.329999924,52091136,0,0,"993,537,344","10,426",0.25,146210944,0,0.52,,,
103,1,4,2,4,,1423934848,-9999.990234,4.329999924,137699968,0,0,"904,956,672","10,400",0.25,126141440,10867,0.52,,,
104,1,4,2,5,,1332877568,-9999.990234,4.329999924,91057280,0,0,"849,252,768","10,368",0.25,123924608,10785,0.52,,,
105,1,4,2,6,,1088928384,-9999.990234,4.329999924,243949184,0,0,"695,594,016","10,306",0.24,99258368,10659,0.52,,,
106,2,0,0,0,,-2209707.5,10.21000004,2.329999924,,,,"1,619,837,228","10,010",2,123725283.5,92,1.63,"2,457,016",2, -   
107,2,0,0,1,,-1470764.63,10.84000015,2.329999924,738942.87,0.63000011,0,"1,608,497,837","10,011",2,122525924.6,92,1.63,"2,562,072",2, -   
108,2,0,0,2,,-1848279.38,10.52999973,2.329999924,377514.75,0.31000042,0,"1,615,574,231","10,011",2,123105895.4,92,1.63,"2,504,201",2, -   
109,2,0,0,3,,-837300.31,11.35999966,2.329999924,1010979.07,0.82999993,0,"1,562,472,116","10,011",2,118582788.3,90,1.63,"2,646,238",2, -   
110,2,0,0,4,,-1662859.25,10.69999981,2.329999924,825558.94,0.65999985,0,"1,425,597,707","10,011",2,108559187.3,85,1.63,"2,540,124",2, -   
111,2,0,0,5,,-2255694.25,10.14999962,2.329999924,592835,0.55000019,0,"1,335,133,262","10,010",2,100446782.3,78,1.63,"2,404,698",2, -   
112,2,0,0,6,,-4350953,8.199999809,2.329999924,2095258.75,1.949999811,0,"1,093,279,337","10,008",2,81807993,66,1.63,"2,096,395",94, -   
113,2,0,1,0,,78712416,35.08000183,2.369999886,,,,"80,922,124",25,0.04,507815776,396,1.71,"20,830,168",3, -   
114,2,0,1,1,,81701304,35.84999847,2.369999886,2988888,0.76999664,0,"83,172,069",25,0.04,501965320,397,1.71,"21,167,472",3, -   
